graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
path8,8,2,64,equivariant_residual,0.1,0.001,26.096050800939118,1.5,True,2.1547185809827284e-06,4.2802489184090575e-06,0.2196796338672769,0.00017712300183468248,0.08212035746293526
path8,8,2,64,adversarial,0.3,0.001,17.529834463575007,0.5,False,1.0,1.2063218492944303,0.2196796338672769,8.764244565362585,0.052536913887334294
path8,8,2,64,adversarial,0.3,0.001,35.059668927150014,1.0,True,0.0009998473462850125,0.0018071441771780883,0.2196796338672769,0.10505780391802597,0.10507382777466859
path8,8,2,64,adversarial,0.3,0.001,52.58950339072502,1.5,True,2.716333897640687e-05,5.0396102397431974e-05,0.2196796338672769,0.004285403112590031,0.1576107416620029
path8,8,2,64,equivariant_residual,0.3,0.001,17.529834463575007,0.5,False,0.0001575851780314541,0.00031442054851504864,0.2196796338672769,0.009528923269378044,0.060417450970434446
path8,8,2,64,equivariant_residual,0.3,0.001,35.059668927150014,1.0,True,2.4371984512755672e-08,4.874368642049376e-08,0.2196796338672769,2.947934221149193e-06,0.12083490194086889
path8,8,2,64,equivariant_residual,0.3,0.001,52.58950339072502,1.5,True,3.804845327692874e-12,7.609024521570973e-12,0.2196796338672769,6.903274956008893e-10,0.18125235291130334
barbell4,8,4,64,adversarial,0.0,0.001,6.976519978432882,0.5,False,0.06532053870446132,0.021462566640650715,0.2196796338672769,1.7037712710160122,0.03484771729227224
barbell4,8,4,64,adversarial,0.0,0.001,13.953039956865764,1.0,True,0.0009824625980731372,0.000650906366282733,0.2196796338672769,0.06500761350582818,0.06969543458454448
barbell4,8,4,64,adversarial,0.0,0.001,20.929559935298645,1.5,True,2.859093968813928e-05,2.035152205537294e-05,0.2196796338672769,0.00298475804957336,0.10454315187681673
barbell4,8,4,64,equivariant_residual,0.0,0.001,6.976519978432882,0.5,False,0.06532053870446132,0.021462566640650715,0.2196796338672769,1.7037712710160122,0.03484771729227224
barbell4,8,4,64,equivariant_residual,0.0,0.001,13.953039956865764,1.0,True,0.0009824625980731372,0.000650906366282733,0.2196796338672769,0.06500761350582818,0.06969543458454448
barbell4,8,4,64,equivariant_residual,0.0,0.001,20.929559935298645,1.5,True,2.859093968813928e-05,2.035152205537294e-05,0.2196796338672769,0.00298475804957336,0.10454315187681673
barbell4,8,4,64,adversarial,0.1,0.001,8.74272756790956,0.5,False,0.0780517403944327,0.029026607640112223,0.2196796338672769,2.5164950304109257,0.04366992420170825
barbell4,8,4,64,adversarial,0.1,0.001,17.48545513581912,1.0,True,0.0009769574608042755,0.0006361291019629789,0.2196796338672769,0.08004163787148548,0.0873398484034165
barbell4,8,4,64,adversarial,0.1,0.001,26.228182703728677,1.5,True,2.7858100417195948e-05,1.9814751746061177e-05,0.2196796338672769,0.003642604921347884,0.13100977260512475
barbell4,8,4,64,equivariant_residual,0.1,0.001,8.74272756790956,0.5,False,0.01948001481914697,0.006402077843517873,0.2196796338672769,0.6930032616614138,0.0449800219277595
barbell4,8,4,64,equivariant_residual,0.1,0.001,17.48545513581912,1.0,True,0.00016145109742458742,9.528116859369717e-05,0.2196796338672769,0.014369021659499421,0.089960043855519
barbell4,8,4,64,equivariant_residual,0.1,0.001,26.228182703728677,1.5,True,2.017051296565732e-06,1.1790258520605335e-06,0.2196796338672769,0.0002723931415071393,0.1349400657832785
barbell4,8,4,64,adversarial,0.3,0.001,17.70962763756039,0.5,False,0.17532508693271837,0.07362748009155351,0.2196796338672769,10.24227111254362,0.08845959004961415
barbell4,8,4,64,adversarial,0.3,0.001,35.41925527512078,1.0,True,0.0009433314533219204,0.0005678918081375439,0.2196796338672769,0.1482531625795321,0.1769191800992283
barbell4,8,4,64,adversarial,0.3,0.001,53.12888291268118,1.5,True,2.4406994180363637e-05,1.730364606689072e-05,0.2196796338672769,0.006450055660016195,0.2653787701488425
barbell4,8,4,64,equivariant_residual,0.3,0.001,17.70962763756039,0.5,False,0.0001442858181098799,8.116297616256318e-05,0.2196796338672769,0.013768455315170697,0.09642095315407943
barbell4,8,4,64,equivariant_residual,0.3,0.001,35.41925527512078,1.0,True,2.0361408891712503e-08,1.1635222563199932e-08,0.2196796338672769,3.930450675251236e-06,0.19284190630815887
barbell4,8,4,64,equivariant_residual,0.3,0.001,53.12888291268118,1.5,True,2.9054536554440347e-12,1.6564527527407336e-12,0.2196796338672769,8.412811135198324e-10,0.2892628594622383
path16,16,2,64,adversarial,0.0,0.001,6.948445451356693,0.5,False,0.9999999714358403,2.8356776444845657,0.205018686599039,5.207160649980151,0.020824491017716006
path16,16,2,64,adversarial,0.0,0.001,13.896890902713386,1.0,True,0.0009999999999918973,0.005853592836243315,0.205018686599039,0.041648982035094886,0.04164898203543201
path16,16,2,64,adversarial,0.0,0.001,20.845336354070078,1.5,True,2.9805008855310816e-05,0.00017673806009455006,0.205018686599039,0.0018638307507271813,0.062473473053148015
path16,16,2,64,equivariant_residual,0.0,0.001,6.948445451356693,0.5,False,0.9999999714358403,2.8356776444845657,0.205018686599039,5.207160649980151,0.020824491017716006
path16,16,2,64,equivariant_residual,0.0,0.001,13.896890902713386,1.0,True,0.0009999999999918973,0.005853592836243315,0.205018686599039,0.041648982035094886,0.04164898203543201
path16,16,2,64,equivariant_residual,0.0,0.001,20.845336354070078,1.5,True,2.9805008855310816e-05,0.00017673806009455006,0.205018686599039,0.0018638307507271813,0.062473473053148015
path16,16,2,64,adversarial,0.1,0.001,8.69868360031304,0.5,False,0.9999999998494277,3.720159931371213,0.205018686599039,6.5239727640692795,0.02606995475013818
path16,16,2,64,adversarial,0.1,0.001,17.39736720062608,1.0,True,0.0009999999999668729,0.005833155024902226,0.205018686599039,0.05213990949855084,0.05213990950027636
path16,16,2,64,adversarial,0.1,0.001,26.096050800939118,1.5,True,2.9351944456127435e-05,0.00017402737959493209,0.205018686599039,0.002297842052788299,0.07820986425041454
path16,16,2,64,equivariant_residual,0.1,0.001,8.69868360031304,0.5,False,0.024703335332398612,0.11262645708100649,0.205018686599039,0.6601281967441717,0.027373452487645087
path16,16,2,64,equivariant_residual,0.1,0.001,17.39736720062608,1.0,True,0.0001683227036880462,0.0010048063010881236,0.205018686599039,0.009222818736291934,0.054746904975290174
path16,16,2,64,equivariant_residual,0.1,0.001,26.096050800939118,1.5,True,2.154718580983115e-06,1.2914086088500198e-05,0.205018686599039,0.00017712300183471427,0.08212035746293526
path16,16,2,64,adversarial,0.3,0.001,17.529834463575007,0.5,False,1.0,4.883875091896041,0.205018686599039,8.764244565362585,0.052536913887334294
path16,16,2,64,adversarial,0.3,0.001,35.059668927150014,1.0,True,0.0009999999962885487,0.005727717772833429,0.205018686599039,0.10507382738508256,0.10507382777466859
path16,16,2,64,adversarial,0.3,0.001,52.58950339072502,1.5,True,2.7163339064328376e-05,0.00016094896883878107,0.205018686599039,0.004285403126460523,0.1576107416620029
path16,16,2,64,equivariant_residual,0.3,0.001,17.529834463575007,0.5,False,0.0001575851826085679,0.0009430511949348741,0.205018686599039,0.009528923546105041,0.060417450970434446
path16,16,2,64,equivariant_residual,0.3,0.001,35.059668927150014,1.0,True,2.4371984512755672e-08,1.462316729927693e-07,0.205018686599039,2.947934221149193e-06,0.12083490194086889
path16,16,2,64,equivariant_residual,0.3,0.001,52.58950339072502,1.5,True,3.804845327692874e-12,2.282796174313262e-11,0.205018686599039,6.903274956008893e-10,0.18125235291130334
path32,32,2,64,adversarial,0.0,0.001,6.948445451356693,0.5,False,0.9999999714358403,10.228321131791567,0.19839834668044434,5.207160649980151,0.020824491017716006
path32,32,2,64,adversarial,0.0,0.001,13.896890902713386,1.0,True,0.0010000000000000002,0.013773796013188289,0.19839834668044434,0.041648982035432026,0.04164898203543201
path32,32,2,64,adversarial,0.0,0.001,20.845336354070078,1.5,True,2.9805008855310816e-05,0.00041605231269414844,0.19839834668044434,0.0018638307507271813,0.062473473053148015
path32,32,2,64,equivariant_residual,0.0,0.001,6.948445451356693,0.5,False,0.9999999714358403,10.228321131791567,0.19839834668044434,5.207160649980151,0.020824491017716006
