copies,beta,float64_endpoint,mpmath_endpoint,absolute_difference
1000000,27.82824569326477,1.211964726825875,1.211964726825875270575536979437678677731001846933930348569623774029770109981092,1.8783698860772966e-16
1000000,29.82824569326477,1.3333379375249566,1.3333379375249567648917681666013754023864041053318564284534082079647295800931442,2.1361999728953623e-16
1000000,31.82824569326477,1.4223195943670799,1.4223195943670801618620505190287896965781155693290547910429291269139817026828738,2.7499683776235404e-16
1000000000000,55.459266809193316,1.2119415576629884,1.2119415576629884870224296127641822553959708480497115451584907409004044720786545,9.796772613749702e-17
1000000000000,57.459266809193316,1.3333333333420319,1.3333333333420310306158223889580179670666225847013508632370036824531388163651496,8.261005807375257e-16
1000000000000,59.459266809193316,1.4223187982529228,1.4223187982529225263168651824347641362017698172839077580961878914754042456824825,3.1826584778655126e-16
