family,size_parameter,offset,beta,mae,limit_mae
barbell,100,-2.0,7.210340371976184,0.49251512884849546,0.5
barbell,100,-1.95,7.260340371976183,0.49251502500791217,0.5
barbell,100,-1.9,7.310340371976183,0.4925149065467973,0.5
barbell,100,-1.85,7.360340371976184,0.4925147672785357,0.5
barbell,100,-1.8,7.410340371976184,0.49251459881373927,0.5
barbell,100,-1.75,7.460340371976184,0.4925143898262482,0.5
barbell,100,-1.7,7.510340371976183,0.49251412509414977,0.5
barbell,100,-1.65,7.560340371976183,0.4925137842533239,0.5
barbell,100,-1.6,7.610340371976184,0.492513340185642,0.5
barbell,100,-1.55,7.660340371976184,0.49251275694535496,0.5
barbell,100,-1.5,7.710340371976184,0.4925119871048496,0.5
barbell,100,-1.45,7.760340371976183,0.49251096837427044,0.5
barbell,100,-1.4,7.810340371976183,0.49250961931785014,0.5
barbell,100,-1.35,7.860340371976184,0.4925078339524927,0.5
barbell,100,-1.2999999999999998,7.910340371976184,0.4925054749705026,0.5
barbell,100,-1.25,7.960340371976184,0.4925023652776355,0.5
barbell,100,-1.2,8.010340371976184,0.4924982774790964,0.5
barbell,100,-1.15,8.060340371976183,0.49249292087908736,0.5
barbell,100,-1.1,8.110340371976184,0.4924859254833271,0.5
barbell,100,-1.0499999999999998,8.160340371976183,0.4924768224081305,0.5
barbell,100,-1.0,8.210340371976184,0.4924650200038234,0.5
barbell,100,-0.95,8.260340371976184,0.4924497748943661,0.5
barbell,100,-0.8999999999999999,8.310340371976183,0.49243015701940607,0.5
barbell,100,-0.8499999999999999,8.360340371976184,0.4924050076403874,0.5
barbell,100,-0.7999999999999998,8.410340371976183,0.4923728891403554,0.5
barbell,100,-0.75,8.460340371976184,0.4923320253102581,0.5
barbell,100,-0.7,8.510340371976184,0.4922802306766601,0.5
barbell,100,-0.6499999999999999,8.560340371976183,0.4922148272924499,0.5
barbell,100,-0.5999999999999999,8.610340371976184,0.49213254729119826,0.5
barbell,100,-0.5499999999999998,8.660340371976183,0.49202941940814676,0.5
barbell,100,-0.5,8.710340371976184,0.4919006376111579,0.5
barbell,100,-0.44999999999999996,8.760340371976184,0.49174040998297536,0.5
barbell,100,-0.3999999999999999,8.810340371976183,0.49154178607777477,0.5
barbell,100,-0.34999999999999987,8.860340371976184,0.4912964611738607,0.5
barbell,100,-0.2999999999999998,8.910340371976183,0.4909945562034697,0.5
barbell,100,-0.25,8.960340371976184,0.49062437271392684,0.5
