family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
barbell,1000000000000,2000000000000,fixed_20,20.0,0.49999999999925,1.0,0.0
barbell,1000000000000,2000000000000,fixed_100,100.0,0.0,1.9287498851646766e-22,0.0
barbell,1000000000000,2000000000000,coefficient_1.5,41.44653167389282,0.49999999999925,1.0,0.0
barbell,1000000000000,2000000000000,coefficient_1.9,52.49894012026424,0.49999999999925,1.0,0.0
barbell,1000000000000,2000000000000,coefficient_2.0,55.262042231857095,0.49999999999874994,0.999999999999,0.0
barbell,1000000000000,2000000000000,coefficient_2.1,58.02514434344995,2.6848719558687306e-07,5.369743910828154e-07,0.0
barbell,1000000000000,2000000000000,coefficient_2.5,69.07755278982137,8.881784196996811e-16,1.0715193052376073e-15,8.881784197001252e-16
barbell,1000000000000,2000000000000,coefficient_3.0,82.89306334778564,0.0,1.0000828964990696e-18,0.0
barbell,100000000000000000000,200000000000000000000,fixed_4,4.0,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,fixed_8,8.0,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,fixed_12,12.0,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,fixed_20,20.0,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,fixed_100,100.0,0.0,1.3271540012990467e-21,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_1.5,69.07755278982137,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_1.9,87.49823353377373,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_2.0,92.10340371976183,0.5,1.0,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_2.1,96.70857390574993,0.0,1.58489319246103e-17,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_2.5,115.12925464970229,0.0,1.0011519555381646e-25,0.0
barbell,100000000000000000000,200000000000000000000,coefficient_3.0,138.15510557964274,0.0,1.0000000138155111e-30,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,fixed_4,4.0,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,fixed_8,8.0,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,fixed_12,12.0,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,fixed_20,20.0,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,fixed_100,100.0,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_1.5,138.15510557964274,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_1.9,174.99646706754746,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_2.0,184.20680743952366,0.5,1.0,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_2.1,193.41714781149986,4.440892098500626e-16,6.918309709189136e-42,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_2.5,230.25850929940458,4.440892098500626e-16,1.0000000230258426e-50,0.0
barbell,10000000000000000000000000000000000000000,20000000000000000000000000000000000000000,coefficient_3.0,276.3102111592855,4.440892098500626e-16,1.0000000000000048e-60,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_4,4.0,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_8,8.0,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_12,12.0,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_20,20.0,0.5000000000000002,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,fixed_100,100.0,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_1.5,276.3102111592855,0.5,1.0,0.0
barbell,100000000000000000000000000000000000000000000000000000000000000000000000000000000,200000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_1.9,349.9929341350949,0.5,1.0,0.0
