n,degree,density,seed,distribution,K,schedule,tau,normalized,probe_gap,state_max,entropy_bound,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
6,2,0.2,0,unit,5,fixed.1,0.1,False,,0.2302585092994045,0.2639057329615259,1.0305765130169675e-09,5.49640880957251e-10,7.007923130686322e-10,5.496408883587378e-10,1.25585736254763e-10,0
6,2,0.2,0,unit,5,fixed.1,0.1,True,,0.2302585092994045,0.2639057329615259,0.26390573234317993,0.15286625924437403,0.19618353676050537,0.15286625924437383,0.03216298622010185,0
6,2,0.2,0,unit,5,fixed.01,0.01,False,,0.02302585092994125,0.02639057329615259,0.0,0.0,0.0,0.0,0.0,0
6,2,0.2,0,unit,5,fixed.01,0.01,True,,0.02302585092994125,0.02639057329615259,0.026390573296152686,0.015286625979401528,0.019618353746129857,0.015286625979401558,0.0034714202727146684,0
6,2,0.2,0,unit,5,size_scaled,0.04808983469629878,False,,0.11073093649624521,0.12691183073525347,0.0,0.0,0.0,0.0,0.0,0
6,2,0.2,0,unit,5,size_scaled,0.04808983469629878,True,,0.11073093649624521,0.12691183073525347,0.12691183073525347,0.07351313164135645,0.09434433886648952,0.07351313164135635,0.016150015270700535,0
6,2,0.2,0,uniform,5,fixed.1,0.1,False,,0.05001087641370994,0.2639057329615259,2.0007199674765275e-06,1.2004201209503406e-06,2.0006665333305307e-06,1.2004201207505005e-06,2.6439732431216e-07,0
6,2,0.2,0,uniform,5,fixed.1,0.1,True,,0.05001087641370994,0.2639057329615259,0.2639037323009885,0.15286505937389408,0.1961823370312754,0.15286505937389414,0.030437118426652882,0
6,2,0.2,0,uniform,5,fixed.01,0.01,False,,6.72948896607295e-08,0.02639057329615259,4.440892098500626e-16,4.4408920985006264e-17,0.0,0.0,0.0,0
6,2,0.2,0,uniform,5,fixed.01,0.01,True,,6.72948896607295e-08,0.02639057329615259,0.026390573296152686,0.015286625979401506,0.0196183537461303,0.015286625979401705,0.003276266792610736,0
6,2,0.2,0,uniform,5,size_scaled,0.04808983469629878,False,,0.006755485162391217,0.12691183073525347,8.149037000748649e-12,4.889399995988697e-12,8.148814956143724e-12,4.889200155844264e-12,1.0768978301693248e-12,0
6,2,0.2,0,uniform,5,size_scaled,0.04808983469629878,True,,0.006755485162391217,0.12691183073525347,0.12691183072710466,0.07351313163646717,0.09434433886160032,0.07351313163646722,0.015260605364089436,0
6,2,0.2,0,loguniform,5,fixed.1,0.1,False,,0.061921889135036885,0.2639057329615259,0.10129465383457394,0.04320488039868604,0.07035622379710493,0.04320488039868612,0.01356857180016613,0
6,2,0.2,0,loguniform,5,fixed.1,0.1,True,,0.061921889135036885,0.2639057329615259,0.25649485730478283,0.10966137939532888,0.15364123152430342,0.1096613793953289,0.027953408720628774,0
6,2,0.2,0,loguniform,5,fixed.01,0.01,False,,7.921438086311294e-07,0.02639057329615259,0.00018881365400286176,0.00011191233032983074,0.00018674766518533836,0.00011191233032981085,3.3444432074073806e-05,0
6,2,0.2,0,loguniform,5,fixed.01,0.01,True,,7.921438086311294e-07,0.02639057329615259,0.0262017670502257,0.015174713649071657,0.0195064414336088,0.0151747136490716,0.00422203340318079,0
6,2,0.2,0,loguniform,5,size_scaled,0.04808983469629878,False,,0.01102884184649186,0.12691183073525347,0.02637995669919469,0.01256823707877544,0.020916101964191247,0.012568237078775487,0.0038303519843969716,0
6,2,0.2,0,loguniform,5,size_scaled,0.04808983469629878,True,,0.01102884184649186,0.12691183073525347,0.12334799060469337,0.06094489456258098,0.08184359830540866,0.060944894562580974,0.016257563086355176,0
6,3,0.2,1,unit,5,fixed.1,0.1,False,2.0,0.3583518938456107,0.3931825632724326,0.06931698936648933,0.013866122638589795,0.027728612320915502,0.013866122638589884,0.0056101304066865365,0
6,3,0.2,1,unit,5,fixed.1,0.1,True,2.0,0.3583518938456107,0.3931825632724326,0.39317802214580944,0.30088477355757426,0.32310266722739844,0.3008847735575743,0.09908669754353382,0
6,3,0.2,1,unit,5,fixed.01,0.01,False,2.0,0.03583518938456187,0.039318256327243256,0.0069314718056001645,0.0013862943611199145,0.002772588722240066,0.001386294361119959,0.0005549177657115656,0
6,3,0.2,1,unit,5,fixed.01,0.01,True,2.0,0.03583518938456187,0.039318256327243256,0.03931825632724317,0.030088795258496517,0.03231049383317841,0.030088795258496465,0.01166069272865077,0
6,3,0.2,1,unit,5,size_scaled,0.03034130755422791,False,2.0,0.10872865023809819,0.11929673077208552,0.021030991785715436,0.004206198357143221,0.008412396714286174,0.0042061983571432355,0.0016877542174231763,0
6,3,0.2,1,unit,5,size_scaled,0.03034130755422791,True,2.0,0.10872865023809819,0.11929673077208552,0.11929673077208536,0.09129333908742353,0.09803426306214447,0.09129333908742343,0.034016370339878595,0
6,3,0.2,1,uniform,5,fixed.1,0.1,False,2.544968120784353,0.14163774554830866,0.3931825632724326,0.005086912307270985,0.0005070776235287437,0.0010558278833519008,0.0005070776235288991,0.00020850686307634833,0
6,3,0.2,1,uniform,5,fixed.1,0.1,True,2.544968120784353,0.14163774554830866,0.3931825632724326,0.39317905732929037,0.31424381857263534,0.3433924090165159,0.31424381857263534,0.12988539449743072,0
6,3,0.2,1,uniform,5,fixed.01,0.01,False,2.544968120784353,0.01386294361119944,0.039318256327243256,1.7763568394002505e-15,1.6283271027835628e-16,6.661338147750939e-16,1.8503717077085943e-16,9.251858538542972e-17,0
6,3,0.2,1,uniform,5,fixed.01,0.01,True,2.544968120784353,0.01386294361119944,0.039318256327243256,0.03931825632724317,0.03147508961961627,0.034389376144137396,0.0314750896196162,0.01581822002551749,0
6,3,0.2,1,uniform,5,size_scaled,0.03034130755422791,False,2.544968120784353,0.0420621376627448,0.11929673077208552,1.788310366013235e-06,1.2090648226307603e-07,3.576687632733666e-07,1.2090648238149981e-07,4.735813295223915e-08,0
6,3,0.2,1,uniform,5,size_scaled,0.03034130755422791,True,2.544968120784353,0.0420621376627448,0.11929673077208552,0.11929673077208558,0.0954994165380845,0.10434185876135693,0.09549941653808443,0.045740769931711604,0
6,3,0.2,1,loguniform,5,fixed.1,0.1,False,1.1927772490108648,0.1478290656630754,0.3931825632724326,0.08440503996622917,0.04481597470540389,0.07196848869183559,0.04481597470540386,0.10315775116310937,0
6,3,0.2,1,loguniform,5,fixed.1,0.1,True,1.1927772490108648,0.1478290656630754,0.3931825632724326,0.33807505508231406,0.2699349214907602,0.2969593659863662,0.26993492149076026,0.3648906889277293,0
6,3,0.2,1,loguniform,5,fixed.01,0.01,False,1.1927772490108648,0.013862943611528067,0.039318256327243256,0.00015040172356822756,9.924288307262205e-05,0.00014952320987626777,9.924288307259592e-05,0.00020835922604229654,0
6,3,0.2,1,loguniform,5,fixed.01,0.01,True,1.1927772490108648,0.013862943611528067,0.039318256327243256,0.03916785460367567,0.03137584673654379,0.03423985293426124,0.03137584673654383,0.057936146091266245,0
6,3,0.2,1,loguniform,5,size_scaled,0.03034130755422791,False,1.1927772490108648,0.04207262988529248,0.11929673077208552,0.00826051316798282,0.00481532811527124,0.007666766834736993,0.004815328115271207,0.010260250853149319,0
6,3,0.2,1,loguniform,5,size_scaled,0.03034130755422791,True,1.1927772490108648,0.04207262988529248,0.11929673077208552,0.11103749775909949,0.09068420932929551,0.09760518353767333,0.09068420932929559,0.15330436151294344,0
6,3,0.2,2,unit,5,fixed.1,0.1,False,1.0,0.3806662489770316,0.40604430105464195,0.0693192593887515,0.018487860585142277,0.027728612485825144,0.018487860585142252,0.009014514867498805,0
6,3,0.2,2,unit,5,fixed.1,0.1,True,1.0,0.3806662489770316,0.40604430105464195,0.4060397599279999,0.3475260282838383,0.36378061877323997,0.3475260282838382,0.13219536270680252,0
6,3,0.2,2,unit,5,fixed.01,0.01,False,1.0,0.03806662489770307,0.04060443010546419,0.006931471805599498,0.0018483924814931996,0.0027725887222398438,0.001848392481493229,0.0008891260185606523,0
6,3,0.2,2,unit,5,fixed.01,0.01,True,1.0,0.03806662489770307,0.04060443010546419,0.04060443010546422,0.034752996405404864,0.03637860677542237,0.03475299640540493,0.016023990294389483,0
6,3,0.2,2,unit,5,size_scaled,0.03034130755422791,False,1.0,0.11549911735726504,0.12319915018940399,0.021030991785715436,0.005608264476190886,0.008412396714286174,0.00560826447619082,0.002705949608609685,0
6,3,0.2,2,unit,5,size_scaled,0.03034130755422791,True,1.0,0.11549911735726504,0.12319915018940399,0.12319915018940386,0.10544513523673646,0.11037744965674001,0.10544513523673653,0.04639237759081485,0
6,3,0.2,2,uniform,5,fixed.1,0.1,False,0.3259605533738874,0.15177431181985135,0.40604430105464195,0.06063770809226465,0.014492506499529711,0.017797786438920937,0.014492506499529823,0.007794103973424689,0
6,3,0.2,2,uniform,5,fixed.1,0.1,True,0.3259605533738874,0.15177431181985135,0.40604430105464195,0.4060442403845964,0.35152138236945085,0.3649316427123679,0.35152138236945074,0.1494505777227912,0
6,3,0.2,2,uniform,5,fixed.01,0.01,False,0.3259605533738874,0.013862943611210099,0.04060443010546419,0.0015043787370385697,0.00015536358232481155,0.00030090436604557347,0.00015536358232489297,8.300672027146867e-05,0
6,3,0.2,2,uniform,5,fixed.01,0.01,True,0.3259605533738874,0.013862943611210099,0.04060443010546419,0.04060443010546422,0.03644602530457321,0.03771032441306876,0.03644602530457312,0.019020690356320664,0
6,3,0.2,2,uniform,5,size_scaled,0.03034130755422791,False,0.3259605533738874,0.042065409223604355,0.12319915018940399,0.013282587367112297,0.0021413878322333138,0.0028082212730937695,0.002141387832233351,0.001143295896207967,0
6,3,0.2,2,uniform,5,size_scaled,0.03034130755422791,True,0.3259605533738874,0.042065409223604355,0.12319915018940399,0.12319915018940397,0.10891201188069403,0.11296090605877951,0.10891201188069392,0.05401110594093319,0
6,3,0.2,2,loguniform,5,fixed.1,0.1,False,0.14723090128646943,0.1959032853902472,0.40604430105464195,0.14362373155472263,0.09962944500592424,0.11993881091077707,0.09962944500592426,8.146814699548104,0
6,3,0.2,2,loguniform,5,fixed.1,0.1,True,0.14723090128646943,0.1959032853902472,0.40604430105464195,0.3527641110184527,0.26638444386305626,0.30599615456941076,0.26638444386305626,3.0865456032114014,0
6,3,0.2,2,loguniform,5,fixed.01,0.01,False,0.14723090128646943,0.01454575698360494,0.04060443010546419,0.0019647107099952654,0.00019274905601324074,0.0004405442213825106,0.0001927490560132463,0.004588370849137731,0
6,3,0.2,2,loguniform,5,fixed.01,0.01,True,0.14723090128646943,0.01454575698360494,0.04060443010546419,0.0405699438450382,0.03640863983088481,0.03772306489644853,0.036408639830884805,0.8836729067254409,0
6,3,0.2,2,loguniform,5,size_scaled,0.03034130755422791,False,0.14723090128646943,0.04987764467155564,0.12319915018940399,0.0213186399562465,0.008521982088592301,0.010478799412143913,0.008521982088592303,0.2579739487819679,0
6,3,0.2,2,loguniform,5,size_scaled,0.03034130755422791,True,0.14723090128646943,0.04987764467155564,0.12319915018940399,0.11691675971146434,0.10253141762433506,0.10919538407137683,0.10253141762433504,1.890963329936163,0
6,4,0.6,0,unit,5,fixed.1,0.1,False,1.0,0.5030437921392421,0.5308267697401206,0.10986879757159218,0.029303795329900847,0.04394933618014196,0.029303795329900757,0.01808290505213365,0
6,4,0.6,0,unit,5,fixed.1,0.1,True,1.0,0.5030437921392421,0.5308267697401206,0.5308176876928958,0.4782831218987089,0.4933433191274432,0.478283121898709,0.21959302927596047,0
6,4,0.6,0,unit,5,fixed.01,0.01,False,1.0,0.050304379213923944,0.053082676974012054,0.010986122886680993,0.0029296327697815984,0.004394449154672353,0.0029296327697816427,0.0017688081456276687,0
6,4,0.6,0,unit,5,fixed.01,0.01,True,1.0,0.050304379213923944,0.053082676974012054,0.05308267697401203,0.04782905895307939,0.04933520982588635,0.04782905895307946,0.029323901402352952,0
6,4,0.6,0,unit,5,size_scaled,0.02404491734814939,False,1.0,0.12095646404487859,0.12763685804586325,0.026416041678686053,0.007044277780982947,0.01056641667147451,0.00704427778098297,0.00426742164036803,0
6,4,0.6,0,unit,5,size_scaled,0.02404491734814939,True,1.0,0.12095646404487859,0.12763685804586325,0.12763685804586333,0.11500457693665572,0.11862610426170406,0.11500457693665578,0.0669957829331448,0
6,4,0.6,0,uniform,5,fixed.1,0.1,False,0.24397704411861487,0.22924499637295348,0.5308267697401206,0.04215420671043946,0.007243303041621374,0.010890885400362427,0.007243303041621352,0.004468016641544559,0
6,4,0.6,0,uniform,5,fixed.1,0.1,True,0.24397704411861487,0.22924499637295348,0.5308267697401206,0.530822006463399,0.5003436141869884,0.5134847412346804,0.5003436141869884,0.23398947110492116,0
6,4,0.6,0,uniform,5,fixed.01,0.01,False,0.24397704411861487,0.014629570231039057,0.053082676974012054,2.8933675455533603e-08,2.6161767271067522e-09,5.7895759297821314e-09,2.6161767567126995e-09,1.5316004575716136e-09,0
6,4,0.6,0,uniform,5,fixed.01,0.01,True,0.24397704411861487,0.014629570231039057,0.053082676974012054,0.05308267697401203,0.05075868910668428,0.051532434403171345,0.050758689106684164,0.03227653464508353,0
6,4,0.6,0,uniform,5,size_scaled,0.02404491734814939,False,0.24397704411861487,0.04098910936685929,0.12763685804586325,0.0001507178363406858,1.583551233469057e-05,3.1149087278192766e-05,1.583551233460175e-05,9.469821489693775e-06,0
6,4,0.6,0,uniform,5,size_scaled,0.02404491734814939,True,0.24397704411861487,0.04098910936685929,0.12763685804586325,0.12763685804586322,0.12203301920530399,0.1239091240597665,0.12203301920530392,0.07338891428383959,0
6,4,0.6,0,loguniform,5,fixed.1,0.1,False,0.006137114682177917,0.274945221197313,0.5308267697401206,0.2742749357624325,0.21240866293975522,0.24344970527541304,0.21240866293975527,,6
6,4,0.6,0,loguniform,5,fixed.1,0.1,True,0.006137114682177917,0.274945221197313,0.5308267697401206,0.37498042780395524,0.2951782542888546,0.325338669754352,0.2951782542888545,10.678049184305808,0
6,4,0.6,0,loguniform,5,fixed.01,0.01,False,0.006137114682177917,0.021191966618444844,0.053082676974012054,0.004913683951178784,0.0016142897960075106,0.003945269309265739,0.0016142897960075113,0.30302203167751224,0
6,4,0.6,0,loguniform,5,fixed.01,0.01,True,0.006137114682177917,0.021191966618444844,0.053082676974012054,0.052274741330528875,0.049144401926853466,0.05081811546428407,0.04914440192685346,5.426156436070137,0
6,4,0.6,0,loguniform,5,size_scaled,0.02404491734814939,False,0.006137114682177917,0.05592668728221565,0.12763685804586325,0.02952962202240731,0.015401507748796221,0.0230728869048598,0.015401507748796226,4.110889164306518,0
6,4,0.6,0,loguniform,5,size_scaled,0.02404491734814939,True,0.006137114682177917,0.05592668728221565,0.12763685804586325,0.11420705044485206,0.10664734696884247,0.11003582957589648,0.10664734696884247,7.932253561395378,0
6,5,0.6,1,unit,5,fixed.1,0.1,False,1.0,0.49416424226093003,0.5303304908059076,0.06932606955865239,0.023113230773454396,0.027734060642369496,0.02311323077345434,0.012031521003255071,0
6,5,0.6,1,unit,5,fixed.1,0.1,True,1.0,0.49416424226093003,0.5303304908059076,0.49486690760893826,0.44681199029698887,0.49486690760893826,0.4468119902969893,0.19682357012859933,0
6,5,0.6,1,unit,5,fixed.01,0.01,False,1.0,0.04941642422609238,0.05303304908059075,0.006931471805599498,0.0023104906018664995,0.0027725887222398438,0.0023104906018665363,0.001181160930986506,0
6,5,0.6,1,unit,5,fixed.01,0.01,True,1.0,0.04941642422609238,0.05303304908059075,0.04948759890378174,0.044682031505177834,0.04948759890378174,0.04468203150517791,0.025884900678953198,0
6,5,0.6,1,unit,5,size_scaled,0.020711164485320396,False,1.0,0.10234716904229835,0.10983762026661846,0.014355885269113022,0.0047852950897043405,0.00574235410764512,0.004785295089704267,0.002451532492066625,0
6,5,0.6,1,unit,5,size_scaled,0.020711164485320396,True,1.0,0.10234716904229835,0.10983762026661846,0.1024945800879784,0.09254169040420065,0.1024945800879784,0.0925416904042008,0.05165511090998428,0
6,5,0.6,1,uniform,5,fixed.1,0.1,False,0.535783401385298,0.2736030004270189,0.5303304908059076,0.03216900322331817,0.0029851742721854683,0.0070578073060214574,0.0029851742721854015,0.0022120265857422106,0
6,5,0.6,1,uniform,5,fixed.1,0.1,True,0.535783401385298,0.2736030004270189,0.5303304908059076,0.4948753951128776,0.4669400467982578,0.4946530940023709,0.466940046798258,0.2734237711227703,0
6,5,0.6,1,uniform,5,fixed.01,0.01,False,0.535783401385298,0.016530557744398156,0.05303304908059075,6.086820976136664e-07,4.0578806522380736e-08,1.2173641961155113e-07,4.057880653718371e-08,2.96314650224024e-08,0
6,5,0.6,1,uniform,5,fixed.01,0.01,True,0.535783401385298,0.016530557744398156,0.05303304908059075,0.04948759890378174,0.04699248152823783,0.049487598903781516,0.04699248152823784,0.03813113840699869,0
6,5,0.6,1,uniform,5,size_scaled,0.020711164485320396,False,0.535783401385298,0.04237982228735149,0.10983762026661846,0.00019001532941853583,1.2667875543992402e-05,3.800321950797603e-05,1.266787554393689e-05,9.250655553220502e-06,0
6,5,0.6,1,uniform,5,size_scaled,0.020711164485320396,True,0.535783401385298,0.04237982228735149,0.10983762026661846,0.1024945800879784,0.09731431761836104,0.10249458008792833,0.09731431761836108,0.07544389908155359,0
6,5,0.6,1,loguniform,5,fixed.1,0.1,False,1.9908584601472383,0.18688283322958843,0.5303304908059076,0.160164726931433,0.10449605572827349,0.12418545251452606,0.10449605572827347,,1
6,5,0.6,1,loguniform,5,fixed.1,0.1,True,1.9908584601472383,0.18688283322958843,0.5303304908059076,0.41082046250111803,0.36542916534216985,0.37581018908634317,0.3654291653421698,4.235461840101382,0
6,5,0.6,1,loguniform,5,fixed.01,0.01,False,1.9908584601472383,0.013863776503845238,0.05303304908059075,0.0007068744293761975,0.00024119135620417827,0.0004253838103547014,0.00024119135620416973,0.009542116291763639,0
6,5,0.6,1,loguniform,5,fixed.01,0.01,True,1.9908584601472383,0.013863776503845238,0.05303304908059075,0.04933938121107856,0.04675133075084014,0.0492263318752781,0.04675133075084014,1.4254108906622989,0
6,5,0.6,1,loguniform,5,size_scaled,0.020711164485320396,False,1.9908584601472383,0.028933227541443785,0.10983762026661846,0.007480388642086416,0.0033425471006321614,0.004613591032421649,0.003342547100632159,0.13898479152051882,0
6,5,0.6,1,loguniform,5,size_scaled,0.020711164485320396,True,1.9908584601472383,0.028933227541443785,0.10983762026661846,0.09991296920803089,0.09398443839327283,0.09874137172565921,0.09398443839327285,2.29886933502206,0
6,5,0.6,2,unit,5,fixed.1,0.1,False,0.0,0.5267858159063321,0.5587248658400249,0.10987031077665033,0.02389951064233551,0.035843363137785245,0.023899510642335493,0.01384725223548335,0
6,5,0.6,2,unit,5,fixed.1,0.1,True,0.0,0.5267858159063321,0.5587248658400249,0.544228149527217,0.48815061827743783,0.5310856832105528,0.48815061827743794,0.22863294579916812,0
6,5,0.6,2,unit,5,fixed.01,0.01,False,0.0,0.05267858159063277,0.05587248658400249,0.010986122886680993,0.002389012625637399,0.0035835189384560984,0.0023890126256374358,0.001356787944266839,0
6,5,0.6,2,unit,5,fixed.01,0.01,True,0.0,0.05267858159063277,0.05587248658400249,0.05442417710521785,0.048816000266339914,0.05310965808427781,0.048816000266339955,0.031004726260018895,0
6,5,0.6,2,unit,5,size_scaled,0.020711164485320396,False,0.0,0.1091034768176975,0.11571842598451326,0.02275353981619932,0.004947923344708312,0.007421885017062424,0.004947923344708283,0.0028166736069569396,0
6,5,0.6,2,unit,5,size_scaled,0.020711164485320396,True,0.0,0.1091034768176975,0.11571842598451326,0.1127188084004378,0.10110362110316101,0.10999628643426074,0.10110362110316103,0.06158597431222442,0
6,5,0.6,2,uniform,5,fixed.1,0.1,False,0.5069494388366707,0.17140766597063006,0.5587248658400249,0.01866906380027067,0.003969677128703086,0.006980653936958792,0.003969677128703035,0.0029941499278005232,0
6,5,0.6,2,uniform,5,fixed.1,0.1,True,0.5069494388366707,0.17140766597063006,0.5587248658400249,0.5423612744977917,0.5080804517910702,0.5290938705722141,0.5080804517910703,0.2670058281609142,0
6,5,0.6,2,uniform,5,fixed.01,0.01,False,0.5069494388366707,0.01386294388605025,0.05587248658400249,7.574738614124499e-10,7.298242750882386e-11,2.084670214230755e-10,7.298224987313991e-11,5.4478292247731965e-11,0
6,5,0.6,2,uniform,5,fixed.01,0.01,True,0.5069494388366707,0.01386294388605025,0.05587248658400249,0.05442417710521785,0.051205012818994936,0.05310965808427448,0.05120501281899492,0.0372417902016041,0
6,5,0.6,2,uniform,5,size_scaled,0.020711164485320396,False,0.5069494388366707,0.028716621605023196,0.11571842598451326,7.551981874742708e-06,9.590829759709151e-07,2.452387497520192e-06,9.590829759635138e-07,7.128613214354059e-07,0
