family,n,degree,K,schedule,beta,state_max,original_readout_mae,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
star,12,11,2,fixed8,8.0,0.017986209962091562,0.015210468536416869,0.053958629886274645,0.0479615371788968,0.047419679538796444,0.044966566522899154,0.013702450215102191,0
star,12,11,2,degree,7.4547199493640015,0.023491151929156406,0.01995663035764454,0.07047345578746911,0.06263920689340334,0.06193481141761681,0.05873060151325225,0.01801175538507437,0
star,12,11,2,order,3.7273599746820008,0.13427469579078916,0.1261621365233135,0.4028240873723674,0.35637947443150564,0.3558242379597818,0.3373504317371598,0.1198514789160529,0
star,12,11,2,order_strong,7.4547199493640015,0.023491151929156406,0.01995663035764454,0.07047345578746911,0.06263920689340334,0.06193481141761681,0.05873060151325225,0.01801175538507437,0
paths,96,2,2,fixed8,8.0,0.027429300694919154,0.15640809543309742,0.053958629886274645,0.029966824581388735,0.017994402975144208,0.017986941957397917,0.01128132135565274,0
paths,96,2,2,degree,3.295836866004329,0.48696086373294367,0.24903891089170624,0.48417143338922664,0.24750282724049688,0.1816250226612992,0.1668885685294114,0.1014998946931931,0
paths,96,2,2,order,6.846522287201754,0.05870694201567847,0.18931378777979946,0.09472905735961357,0.052562959623756754,0.03162976523701899,0.03158327503337303,0.01974996719372753,0
paths,96,2,2,order_strong,13.693044574403508,0.0011093228814007899,0.01624447377895739,0.003186052528368677,0.0017700275448448988,0.001062018746572857,0.0010620175213629974,0.0006685246347509407,0
barbell,64,32,3,fixed8,8.0,0.646678247618547,0.3082801356946864,0.6646644575806384,0.326241994517127,0.3184883736896602,0.30854778762864604,0.09174899391533378,0
barbell,64,32,3,degree,10.489522684399441,0.029788425585692765,0.014204274843272555,0.03503681857553742,0.019417360691127386,0.014725533596521734,0.01428267439777306,0.0036005672473639616,0
barbell,64,32,3,order,6.238324625039507,0.9951781663688415,0.4744299354762608,1.037501878693635,0.5167112810222882,0.49036239402769,0.4750597526239507,0.15734481027657427,0
barbell,64,32,3,order_strong,12.476649250079014,0.00423531144733083,0.002203871169403307,0.007336049975045444,0.004488517603415903,0.0026666242011912367,0.002598376824388321,0.000653458882244478,0
