family,n,m,gap,tau,normalized,prediction,absolute_error,represented_only,weight_scale,scale,schedule,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
parallel_paths,4,2,0.0,0.01,False,1.9930685281944005,0.006931471805599498,,,,,,,,,,
parallel_paths,4,2,0.0,0.01,True,2.0,0.0,,,,,,,,,,
parallel_paths,4,2,0.0,0.1,False,1.9306852819440057,0.06931471805599432,,,,,,,,,,
parallel_paths,4,2,0.0,0.1,True,2.0,0.0,,,,,,,,,,
parallel_paths,4,2,0.0,1.0,False,1.3068528194400546,0.6931471805599454,,,,,,,,,,
parallel_paths,4,2,0.0,1.0,True,2.0,0.0,,,,,,,,,,
parallel_paths,4,2,0.0,0.09102392266268373,False,1.9369070246428546,0.06309297535714542,,,,,,,,,,
parallel_paths,4,2,0.0,0.09102392266268373,True,2.0000000000000004,4.440892098500626e-16,,,,,,,,,,
parallel_paths,4,2,0.01,0.01,False,1.9968673831248176,0.0031326168751824035,,,,,,,,,,
parallel_paths,4,2,0.01,0.01,True,2.003798854930417,0.003798854930416873,,,,,,,,,,
parallel_paths,4,2,0.01,0.1,False,1.935560333992643,0.06443966600735695,,,,,,,,,,
parallel_paths,4,2,0.01,0.1,True,2.0048750520486376,0.004875052048637585,,,,,,,,,,
parallel_paths,4,2,0.01,1.0,False,1.3118403194921378,0.6881596805078622,,,,,,,,,,
parallel_paths,4,2,0.01,1.0,True,2.004987500052083,0.004987500052083149,,,,,,,,,,
parallel_paths,4,2,0.01,0.09102392266268373,False,1.9417697671121366,0.05823023288786344,,,,,,,,,,
parallel_paths,4,2,0.01,0.09102392266268373,True,2.004862742469282,0.0048627424692822,,,,,,,,,,
parallel_paths,4,2,0.1,0.01,False,1.999999546011008,4.5398899195525644e-07,,,,,,,,,,
parallel_paths,4,2,0.1,0.01,True,2.0069310178166075,0.006931017816607543,,,,,,,,,,
parallel_paths,4,2,0.1,0.1,False,1.9686738312481777,0.03132616875182226,,,,,,,,,,
parallel_paths,4,2,0.1,0.1,True,2.0379885493041723,0.03798854930417228,,,,,,,,,,
parallel_paths,4,2,0.1,1.0,False,1.3556033399264291,0.6443966600735709,,,,,,,,,,
parallel_paths,4,2,0.1,1.0,True,2.0487505204863745,0.048750520486374516,,,,,,,,,,
parallel_paths,4,2,0.1,0.09102392266268373,False,1.9738140492857088,0.026185950714291195,,,,,,,,,,
parallel_paths,4,2,0.1,0.09102392266268373,True,2.0369070246428547,0.03690702464285467,,,,,,,,,,
parallel_paths,4,2,1.0,0.01,False,2.0,0.0,,,,,,,,,,
parallel_paths,4,2,1.0,0.01,True,2.0069314718055993,0.006931471805599276,,,,,,,,,,
parallel_paths,4,2,1.0,0.1,False,1.9999954601100782,4.5398899217730104e-06,,,,,,,,,,
parallel_paths,4,2,1.0,0.1,True,2.0693101781660728,0.06931017816607277,,,,,,,,,,
parallel_paths,4,2,1.0,1.0,False,1.6867383124817772,0.3132616875182228,,,,,,,,,,
parallel_paths,4,2,1.0,1.0,True,2.3798854930417224,0.37988549304172237,,,,,,,,,,
parallel_paths,4,2,1.0,0.09102392266268373,False,1.9999984585149297,1.5414850702555327e-06,,,,,,,,,,
parallel_paths,4,2,1.0,0.09102392266268373,True,2.0630914338720756,0.06309143387207561,,,,,,,,,,
parallel_paths,10,8,0.0,0.01,False,1.9792055845832013,0.020794415416798717,,,,,,,,,,
parallel_paths,10,8,0.0,0.01,True,1.9999999999999996,4.440892098500626e-16,,,,,,,,,,
parallel_paths,10,8,0.0,0.1,False,1.792055845832017,0.20794415416798295,,,,,,,,,,
parallel_paths,10,8,0.0,0.1,True,2.0000000000000004,4.440892098500626e-16,,,,,,,,,,
parallel_paths,10,8,0.0,1.0,False,-0.07944154167983597,2.079441541679836,,,,,,,,,,
parallel_paths,10,8,0.0,1.0,True,1.9999999999999998,2.220446049250313e-16,,,,,,,,,,
parallel_paths,10,8,0.0,0.04551196133134187,False,1.9053605369642816,0.09463946303571835,,,,,,,,,,
parallel_paths,10,8,0.0,0.04551196133134187,True,2.0000000000000004,4.440892098500626e-16,,,,,,,,,,
parallel_paths,10,8,0.01,0.01,False,1.9872599116377214,0.012740088362278579,,,,,,,,,,
parallel_paths,10,8,0.01,0.01,True,2.00805432705452,0.008054327054519916,,,,,,,,,,
parallel_paths,10,8,0.01,0.1,False,1.8007497757054982,0.1992502242945018,,,,,,,,,,
parallel_paths,10,8,0.01,0.1,True,2.008693929873482,0.008693929873481832,,,,,,,,,,
parallel_paths,10,8,0.01,1.0,False,-0.07069702411735532,2.0706970241173552,,,,,,,,,,
parallel_paths,10,8,0.01,1.0,True,2.0087445175624805,0.008744517562480514,,,,,,,,,,
parallel_paths,10,8,0.01,0.04551196133134187,False,1.913983615224718,0.08601638477528195,,,,,,,,,,
parallel_paths,10,8,0.01,0.04551196133134187,True,2.008623078260437,0.008623078260436845,,,,,,,,,,
parallel_paths,10,8,0.1,0.01,False,1.9999968225097926,3.1774902073955502e-06,,,,,,,,,,
parallel_paths,10,8,0.1,0.01,True,2.020791237926591,0.020791237926590878,,,,,,,,,,
parallel_paths,10,8,0.1,0.1,False,1.8725991163772155,0.12740088362278446,,,,,,,,,,
parallel_paths,10,8,0.1,0.1,True,2.080543270545199,0.08054327054519916,,,,,,,,,,
parallel_paths,10,8,0.1,1.0,False,0.00749775705498687,1.9925022429450132,,,,,,,,,,
parallel_paths,10,8,0.1,1.0,True,2.0869392987348228,0.08693929873482276,,,,,,,,,,
parallel_paths,10,8,0.1,0.04551196133134187,False,1.9738140492857088,0.026185950714291195,,,,,,,,,,
parallel_paths,10,8,0.1,0.04551196133134187,True,2.0684535123214274,0.06845351232142738,,,,,,,,,,
parallel_paths,10,8,1.0,0.01,False,2.0,0.0,,,,,,,,,,
parallel_paths,10,8,1.0,0.01,True,2.0207944154167983,0.020794415416798273,,,,,,,,,,
parallel_paths,10,8,1.0,0.1,False,1.9999682250979232,3.177490207684208e-05,,,,,,,,,,
parallel_paths,10,8,1.0,0.1,True,2.2079123792659066,0.20791237926590656,,,,,,,,,,
parallel_paths,10,8,1.0,1.0,False,0.7259911637721521,1.2740088362278479,,,,,,,,,,
